,Ratings,Jobs,Salaries,Locations
224,3.4,Certified Nursing Assistant ATC Healthcare,NaN,"Pittsburgh, PA"
225,2.6,Paid CDL Truck Driver Training Roehl Transport,NaN,"Pittsburgh, PA"
226,3.6,Senior AR/VR Software Engineer General Dynamics Mission Systems,$80-$12,"Pittsburgh, PA"
227,3.6,Store Team Member - #468 - Overnight Sheetz,NaN,"Pittsburgh, PA"
228,2.9,Licensed Practical Nurse - LPN Sign-on Bonus up to HCR ManorCare,$7 -$17-$23,"Pittsburgh, PA"
229,4.3,Hair Stylist Great Clips,NaN,"Pittsburgh, PA"
230,2.6,Flatbed Owner Operator/Lease Purchase Driver - 0k - 0k/Yr Gross!! Home Wk Ends Carrier One,$26-$30,"Pittsburgh, PA"
231,4.6,Licensed Practical Nurse (LPN) | 25-35/hr | IntelyCare,$62-$83,"Pittsburgh, PA"
232,2.7,Daytime Houseperson BridgeStreet Global Hospitality,$22-$25,"Pittsburgh, PA"
233,2.7,Company Truck Driver Roadrunner Transportation Systems,NaN,"Pittsburgh, PA"
234,3.1,"Teacher, Lead Child Care Bright Horizons Family Solutions",$9--$13,"Pittsburgh, PA"
235,3.5,CDL-A Truck Driver Heartland Express,NaN,"Pittsburgh, PA"
236,4.2,Construction Project Manager/Superintendent - Home Reconstruction - ResiPro,NaN,"Pittsburgh, PA"
237,3.0,Clinic RN InnovAge,$17-$29,"Allegheny, PA"
238,3.5,Registered Nurse RN - Medical PCU - Sign On Bonus Available Carilion Clinic,$19-$32,"Pittsburgh, PA"
239,3.5,Registered Nurse RN Team Lead Med/Surg Carilion Clinic,$58-$88,"Pittsburgh, PA"
240,2.7,Owner Operator Truck Driver Roadrunner Transportation Systems,NaN,"Pittsburgh, PA"
241,2.9,Registered Nurse - RN *Every Weekend Treatment Nurse HCR ManorCare,$16-$27,"Pittsburgh, PA"
242,3.5,Moving Truck Driver College Hunks Hauling Junk  Allison,NaN,"Park, PA"
243,3.3,Automotive Technician Valvoline  Mc,NaN,"Murray, PA"
244,2.9,Licensed Practical Nurse - LPN Sign-on Bonus 000 Approximately HCR ManorCare,"$5,-$17-$23","Pittsburgh, PA"
245,2.9,"Registered Nurse - RN House Supervisor 3pm- 11pm SIGN ON BONUS ,000 Approximatey HCR ManorCare",$12-$16-$28,"Pittsburgh, PA"
246,2.9,"Registered Nurse - RN 3pm -11 pm House Supervisor ,000 Sign On Bonus HCR ManorCare  Mc",$15-$16-$28,"Murray, PA"
247,2.9,General Manager - Restaurant Boston Market,$30-$50,"Pittsburgh, PA"
248,2.9,Licensed Practical Nurse - LPN Sign-on Bonus 500 Approximately HCR ManorCare,"$7,-$17-$23","Pittsburgh, PA"
249,1.0,Automotive Technician Monro Inc.,NaN,"Pittsburgh, PA"
250,4.2,Desktop Support Technician Affirm,$46-$67,"Pittsburgh, PA"
251,3.7,Java Engineer II PSG Global Solutions,NaN,"Pittsburgh, PA"
252,3.4,Marketing & Sales,NaN,Representatives - PA
253,3.6,Houseperson - Hyatt House Pittsburgh South Side Concord Hospitality,NaN,"Pittsburgh, PA"
254,3.1,"CIVIL AUTOCAD DESIGNER S&ME, Inc.",$32-$53,"Pittsburgh, PA"
255,2.8,"Associate, Customer Care - Benefits Verification ConnectiveRx",$13-$24,"Bridgeville, PA"
256,3.4,Corporate Sales Account Executive Proofpoint,NaN,"Pittsburgh, PA"
257,4.4,"Environmental Scientist, Geologist, or Environmental Engineer - 2 to 5 Years Experience Langan Engineering and Environmental Services",NaN,"Pittsburgh, PA"
258,3.0,Sage X3 Developer SCA Pharmaceuticals,NaN,"Pittsburgh, PA"
259,3.4,Key Holder - The Block Lands' End,$8--$11,"Pittsburgh, PA"
260,3.7,Direct Support- Brain Injury ReMed,NaN,"Gibsonia, PA"
261,3.7,Optical Stylist SEE,$10-$16,"Pittsburgh, PA"
262,3.0,"AVP, IT Audit Dollar Bank",NaN,"Pittsburgh, PA"
263,5.0,Regional Account Manager HEMA Biologics,NaN,"Pittsburgh, PA"
264,3.4,Sales Associate Helzberg Diamonds,NaN,"Pittsburgh, PA"
265,4.2,Marketing Representative Universal Windows Direct,$40-$51,"Pittsburgh, PA"
266,3.6,Store Team Member - #468 - Evenings Sheetz,$18-$23,"Pittsburgh, PA"
267,2.8,Sr. Application Developer ConnectiveRx,$67-$12,"Bridgeville, PA"
268,3.6,Operations Supervisor - Hyatt House Pittburgh South Side Concord Hospitality,NaN,"Pittsburgh, PA"
269,3.6,Store Team Member - #253 - Days Sheetz,$18-$23,"Pittsburgh, PA"
270,4.5,Executive Chef Resort Lifestyle Communities,$37-$69,"Bridgeville, PA"
271,2.6,Machine Operator I - Duq American Textile,NaN,"Duquesne, PA"
272,3.6,Store Team Member - #253 - Overnight Sheetz,$18-$23,"Pittsburgh, PA"
273,3.7,Lead HVAC Installer ARS Rescue Rooter,NaN,"Pittsburgh, PA"
274,3.6,Overnight Bellperson Concord Hospitality,NaN,"Pittsburgh, PA"
275,3.3,"Salaried, Benefits, Per Diem Company Drivers Hazelton Cardinal Logistics Management",NaN,"Whitehall, PA"
276,2.5,Production Technician Hard Goods Polyconcept North America  New,$13-$21,"Kensington, PA"
277,3.6,Store Team Member - #253 - Weekends Sheetz,$18-$23,"Pittsburgh, PA"
278,3.6,Barback Concord Hospitality,NaN,"Pittsburgh, PA"
279,2.6,"HVAC Service Technician Remco, Inc.",NaN,"Pittsburgh, PA"
280,3.6,Restaurant Cashier Concord Hospitality,NaN,"Pittsburgh, PA"
281,3.1,CDL A or B Local driver Beacon Roofing Supply,NaN,"Pittsburgh, PA"
282,3.5,Data Entry Operator Kelly Services,NaN,"Pittsburgh, PA"
283,3.8,Asset Protection Associate Best Buy,$9--$13,"Pittsburgh, PA"
284,2.7,Application Support Engineer-3 York Risk Services Group,$75-$98,"Pittsburgh, PA"
285,2.9,"Registered Nurse - RN ,000 Sign On Bonus HCR ManorCare",$10-$16-$27,"Pittsburgh, PA"
286,3.3,Highway Engineer GAI Consultants,$48-$66,"Pittsburgh, PA"
287,3.1,Assistant Store Manager Vitamin Shoppe,NaN,"Pittsburgh, PA"
288,2.9,Registered Nurse - Hospice HCR ManorCare,$18-$31,"Pittsburgh, PA"
289,3.6,Housekeeper/Room Attendant Concord Hospitality,$8--$12,"Pittsburgh, PA"
290,2.8,Remelt Utility Universal Stainless,NaN,"Bridgeville, PA"
291,3.1,Care Manager (RN) Centene Corporation,$44-$65,"Pittsburgh, PA"
292,3.6,Intermodal CDL-A Owner Operators | Great Home Time Hub Group,NaN,"Center, PA"
293,3.1,Food Service Co-worker (20-34 hours per week) IKEA,$8--$12,"Pittsburgh, PA"
294,2.9,Assistant Program,NaN,Director PA
295,3.0,Assistant Branch Manager Trainee Dollar Bank,$23-$32,"Pittsburgh, PA"
296,3.6,Intermodal CDL-A Company Driver | Competitive Weekly Pay Hub Group,NaN,"Center, PA"
297,2.7,Certified Medical Coder Premier Medical Associates,$10-$17,"Pittsburgh, PA"
298,3.0,Personal Banker Dollar Bank,$26-$35,"Pittsburgh, PA"
299,2.9,Certified Nursing Assistant - CNA HCR ManorCare,$10-$14,"Pittsburgh, PA"
300,2.3,Cash Management Services Teller Loomis,NaN,"Pittsburgh, PA"
301,3.4,MARKETING / ADVERTISING - INTERNSHIPS OPEN! Steel River Marketing,NaN,"Pittsburgh, PA"
302,2.8,EAP Care Manager Beacon Health Options,$39-$59,"Pittsburgh, PA"
303,3.6,Front Desk Clerk Concord Hospitality,NaN,"Pittsburgh, PA"
304,2.9,Registered Nurse - RN Sign-on Bonus up to  HCR ManorCare,$10-$16-$27,"Pittsburgh, PA"
305,3.0,Leasing Coordinator Dollar Bank,$10-$16,"Pittsburgh, PA"
306,4.4,"Urologist (Machias, ME) Down East Community Hospital",NaN,"Pittsburgh, PA"
307,3.6,Front Desk Receptionist Concord Hospitality,NaN,"Pittsburgh, PA"
308,NaN,/ glazer / glazier Excel Glass and Granite,NaN,"Jeannette, PA"
